rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category,board
meltybo,Melty Blood Act Cadenza Version B (Japan) (GDL-0039),2006,Ecole Software,0,0,unknown,true,meltyb,,sega_naomi
mj1,"Sega Yonin Uchi Mahjong MJ Network Taisen Ver. (Update Disc Ver.3.000, Japan) (CDP-10002F)",2003,Sega,0,0,unknown,false,,,sega_naomi
moeru,Moeru Casinyo (Japan) (GDL-0013),2002,Altron,0,0,unknown,false,,,sega_naomi
mok,The Maze of the Kings (GDS-0022),2002,Sega,0,0,unknown,false,,,sega_naomi
monkeyba,Monkey Ball (GDS-0008),2001,Sega,0,0,unknown,false,,,sega_naomi
monomedal,Monopoly the Medal 2nd Edition (MDA-C0056A),2008,Sega,0,0,unknown,false,,,sega_system_sp
mslug6,Metal Slug 6,2006,Sega / SNK Playmore,0,0,unknown,false,,,sammy_atomiswave
mushi2eo,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 1.001) (World),2005,Sega,0,0,unknown,true,mushik2e,,sega_naomi
mushi2k3,Mushiking The King Of Beetles 2003 Second (Japan),2003,Sega,0,0,unknown,false,,,sega_naomi
mushi2k61,Mushiking The King Of Beetles 2006 First (Japan),2006,Sega,0,0,unknown,false,,,sega_naomi
mushi2k62,Mushiking The King Of Beetles 2006 Second (Japan),2006,Sega,0,0,unknown,false,,,sega_naomi
mushik2e,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 2.001) (World),2005,Sega,0,0,unknown,false,,,sega_naomi
mushik2k,Mushiking The King Of Beetles - Mushiking II / III / III+ (Ver. 1.000-) (Korea),2005,Sega,0,0,unknown,true,mushik2e,,sega_naomi
mushik4e,Mushiking The King Of Beetles - Mushiking IV / V / VI (World),2007,Sega,0,0,unknown,false,,,sega_naomi
mushik4t,Mushiking The King Of Beetles - Mushiking IV / V / VI (Taiwan),2007,Sega,0,0,unknown,true,mushik4e,,sega_naomi
mushike,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.003-, World)",2004,Sega,0,0,unknown,false,,,sega_naomi
mushikeo,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.002-, World)",2004,Sega,0,0,unknown,true,mushike,,sega_naomi
mushikk,"Mushiking The King Of Beetle (2K3 2ND Ver. 1.000-, Korea)",2004,Sega,0,0,unknown,true,mushike,,sega_naomi
mvsc2,"Marvel Vs. Capcom 2: New Age of Heroes (Export, Korea, Rev A)",2000,Capcom / Marvel,0,0,unknown,false,,,sega_naomi
mvsc2u,"Marvel Vs. Capcom 2: New Age of Heroes (USA, Rev A)",2000,Capcom / Marvel,0,0,unknown,true,mvsc2,,sega_naomi
ngbc,NeoGeo Battle Coliseum,2005,Sammy / SNK Playmore,0,0,unknown,false,,,sammy_atomiswave
ngbcj,NeoGeo Battle Coliseum (Japan),2005,Sammy / SNK Playmore,0,0,unknown,true,ngbc,,sammy_atomiswave
ninjaslt,"Ninja Assault (World, NJA2 Ver.A)",2000,Namco,0,0,unknown,false,,,sega_naomi
ninjaslta,"Ninja Assault (Asia, NJA4 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,,sega_naomi
ninjasltj,"Ninja Assault (Japan, NJA1 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,,sega_naomi
ninjasltu,"Ninja Assault (US, NJA3 Ver.A)",2000,Namco,0,0,unknown,true,ninjaslt,,sega_naomi
ntvmys,"Nittere Shiki! Mirai Yosou Studio / NTV Future Forecast Studio (Japan, Rev A)",2000,Sega / NTV,0,0,unknown,false,,,sega_naomi
ochaken,Ocha-Ken Hot Medal,2007,Sega,0,0,unknown,false,,,sega_system_sp
otrigger,OutTrigger,1999,Sega,0,0,unknown,false,,,sega_naomi
pjustic,Project Justice / Moero! Justice Gakuen (Rev B),2000,Capcom,0,0,unknown,false,,,sega_naomi
pjustica,Project Justice / Moero! Justice Gakuen (Rev A),2000,Capcom,0,0,unknown,true,pjustic,,sega_naomi
pokasuka,Pokasuka Ghost! (Japan),2007,Sega,0,0,unknown,true,manicpnc,,sega_naomi
pstone,Power Stone,1999,Capcom,0,0,unknown,false,,,sega_naomi
pstone2,Power Stone 2,2000,Capcom,0,0,unknown,false,,,sega_naomi
pstone2b,Power Stone 2 (bootleg),2000,Capcom,0,0,unknown,true,pstone2,,sega_naomi
psyvar2,Psyvariar 2 - The Will To Fabricate (Japan) (GDL-0024),2003,Success,0,270,unknown,false,,,sega_naomi
puyoda,Puyo Puyo Da! (Japan),1999,Compile,0,0,unknown,false,,,sega_naomi
puyofev,Puyo Pop Fever (World) (GDS-0034),2003,Sega,0,0,unknown,false,,,sega_naomi
puyofevj,Puyo Puyo Fever (Japan) (GDS-0031),2003,Sega,0,0,unknown,true,puyofev,,sega_naomi
puyomedal,Puyo Puyo! The Medal Edition,2009,Sega,0,0,unknown,false,,,sega_system_sp
qmegamis,Quiz Aa! Megami-sama ~Tatakau Tsubasa to Tomoni~ (Japan),2000,Sega,0,0,unknown,false,,,sega_naomi
quizqgd,Quiz Keitai Q mode (GDL-0017),2002,Amedio (Taito license),0,270,unknown,false,,,sega_naomi
radirgy,"Radirgy (Japan, Rev A) (GDL-0032A)",2005,Milestone,0,270,unknown,false,,,sega_naomi
radirgyn,Radirgy Noa (Japan),2009,Milestone / Lucky,0,0,unknown,false,,,sega_naomi
radirgyo,Radirgy (Japan) (GDL-0032),2005,Milestone,0,270,unknown,true,radirgy,,sega_naomi
rangrmsn,Ranger Mission,2004,RIZ Inc./ Sammy,0,0,unknown,false,,,sammy_atomiswave
rhytngk,Rhythm Tengoku (Japan),2007,Sega / Nintendo - J.P ROOM,0,0,unknown,false,,,sega_naomi
ringout,Ring Out 4x4 (Rev A),1999,Sega,0,0,unknown,false,,,sega_naomi
ringouto,Ring Out 4x4,1999,Sega,0,0,unknown,true,ringout,,sega_naomi
rumblef,The Rumble Fish,2004,Sammy / Dimps,0,0,unknown,false,,,sammy_atomiswave
rumblef2,The Rumble Fish 2,2005,Sammy / Dimps,0,0,unknown,false,,,sammy_atomiswave
rumblefp,The Rumble Fish (prototype),2004,Sammy / Dimps,0,0,unknown,true,rumblef,,sammy_atomiswave
rumblf2p,The Rumble Fish 2 (prototype),2005,Sammy / Dimps,0,0,unknown,true,rumblef2,,sammy_atomiswave
salmankt,Net@Select: Salaryman Kintaro,2004,Yuki Enterprise / Sammy,0,0,unknown,false,,,sammy_atomiswave
samba,Samba De Amigo (Rev B),1999,Sega,0,0,unknown,false,,,sega_naomi
samba2k,Samba de Amigo ver. 2000 (Japan),2000,Sega,0,0,unknown,false,,,sega_naomi
sambaa,Samba De Amigo (Rev A),1999,Sega,0,0,unknown,true,samba,,sega_naomi
sambap,"Samba De Amigo (USA, prototype)",1999,Sega,0,0,unknown,true,samba,,sega_naomi
samsptk,Samurai Spirits Tenkaichi Kenkakuden,2005,Sammy / SNK Playmore,0,0,unknown,false,,,sammy_atomiswave
senko,"Senko no Ronde (Japan, Rev A) (GDL-0030A)",2005,G.Rev,0,0,unknown,false,,,sega_naomi
senkoo,Senko no Ronde (Japan) (GDL-0030),2005,G.Rev,0,0,unknown,true,senko,,sega_naomi
senkosp,"Senko no Ronde Special (Export, Japan) (GDL-0038)",2006,G.Rev,0,0,unknown,false,,,sega_naomi
sfz3ugd,Street Fighter Zero 3 Upper (Japan) (GDL-0002),2001,Capcom,0,0,unknown,false,,,sega_naomi
sgdrvsim,Driving Simulator,2007,Sega,0,0,unknown,false,,,sega_naomi_2
sgtetris,Sega Tetris,1999,Sega,0,0,unknown,false,,,sega_naomi
shaktam,Shakatto Tambourine (Rev B) (GDS-0002B),2000,Sega,0,0,unknown,false,,,sega_naomi
shaktamb,Shakatto Tambourine Cho Powerup Chu (2K1 AUT) (GDS-0016),2001,Sega,0,0,unknown,false,,,sega_naomi
shaktmsp,Shakatto Tambourine Motto Norinori Shinkyoku Tsuika (2K1 SPR) (GDS-0013),2001,Sega,0,0,unknown,false,,,sega_naomi
shikgam2,Shikigami no Shiro II / The Castle of Shikigami II (GDL-0021),2003,Alfa System,0,270,unknown,false,,,sega_naomi
shootopl,Shootout Pool,2002,Sega,0,0,unknown,false,,,sega_naomi
shootpl,"Shootout Pool Prize (Export) / Shootout Pool The Medal (Japan, Rev A)",2003,Sega,0,0,unknown,false,,,sega_naomi
shootplm,Shootout Pool Prize (Export) / Shootout Pool The Medal (Japan) Version B,2004,Sega,0,0,unknown,false,,,sega_naomi
shootplmp,Shootout Pool Prize (Export) / Shootout Pool The Medal (Japan) Version B (prototype),2004,Sega,0,0,unknown,true,shootplm,,sega_naomi
shors2k2,"Star Horse 2002 (sound, Export/Taiwan)",2002,Sega,0,0,unknown,false,,,sega_naomi
shorsepr,Star Horse Progress Returns (satellite),2009,Sega,0,270,unknown,false,,,sega_naomi
