rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category,board
ikaruga,Ikaruga,2001,Treasure,1,90,good,false,,Shooter / Vertical,sega_naomi
kofxi,The King of Fighters XI,2005,SNK Playmore,2,0,good,false,,Fighter / Versus,sammy_atomiswave
crzytaxi,Crazy Taxi,1999,Sega,1,0,good,false,,Driving / Race,sega_naomi
anmlbskt,Animal Basket,2004,Examu,2,270,good,false,,Fighter / Versus,sammy_atomiswave
mslug6,Metal Slug 6,2006,SNK Playmore,2,0,good,false,,Shooter / Run and Gun,sammy_atomiswave
vstrik3c,"Virtua Striker 3 (World, Rev B)",2001,Sega,2,0,good,false,,Sports,sega_naomi_2
vtennisg,Virtua Tennis / Power Smash (GDS-0011),2001,Sega,2,0,good,false,,Sports,sega_naomi
